[ 2012-06-10T18:23:46+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-10T18:23:46+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002374s ]
[ 2012-06-10T18:23:46+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.027388s ]
[ 2012-06-10T18:34:58+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-10T18:34:58+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002674s ]
[ 2012-06-10T18:34:58+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002890s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002448s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002585s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005972s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006091s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.047870s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047984s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.002034s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.002523s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001583s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001879s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008289s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002426s ]
[ 2012-06-10T18:57:32+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002523s ]
[ 2012-06-10T18:57:32+08:00 ] /me/style/reset.css | ERR: (ThinkException) 无法加载模块Style
[ 2012-06-10T18:57:33+08:00 ] /me/js/jquery1.7.js | ERR: (ThinkException) 无法加载模块Js
[ 2012-06-10T18:57:46+08:00 ] /me/image/navi-line.jpg | ERR: (ThinkException) 无法加载模块Image
[ 2012-06-10T18:57:46+08:00 ] /me/image/bg-column.jpg | ERR: (ThinkException) 无法加载模块Image
[ 2012-06-10T18:57:46+08:00 ] /me/image/logo.jpg | ERR: (ThinkException) 无法加载模块Image
