[ 2012-06-28T11:22:52+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003220s ]
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.024958s ]
[ 2012-06-28T11:22:52+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.113028s ]
[ 2012-06-28T11:22:52+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.023543s ]
[ 2012-06-28T11:22:52+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.043232s ]
[ 2012-06-28T11:22:52+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 12 行.
[ 2012-06-28T11:22:52+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 14 行.
[ 2012-06-28T11:22:52+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000984s ]
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.004472s ]
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.004672s ]
[ 2012-06-28T11:22:52+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.065610s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.065758s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002205s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002405s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001601s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.002089s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008681s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001726s ]
[ 2012-06-28T11:22:53+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001826s ]
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002059s ]
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002192s ]
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001296s ]
[ 2012-06-28T11:22:54+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001375s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001670s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001869s ]
[ 2012-06-28T11:23:11+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005634s ]
[ 2012-06-28T11:23:11+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000473s ]
[ 2012-06-28T11:23:11+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006333s ]
[ 2012-06-28T11:23:11+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 12 行.
[ 2012-06-28T11:23:11+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 14 行.
[ 2012-06-28T11:23:11+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000512s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002557s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002658s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.029246s ]
[ 2012-06-28T11:23:11+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029351s ]
