[ 2012-06-11T00:02:52+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000416s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007569s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000544s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001142s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001221s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019804s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019897s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.000979s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.000856s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000713s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000950s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003712s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001026s ]
[ 2012-06-11T00:02:52+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001102s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.001984s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002150s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001444s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001572s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007557s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000434s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007214s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000526s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000356s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001962s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002063s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.026972s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027067s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.000942s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.000884s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000706s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001055s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003802s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000966s ]
[ 2012-06-11T00:02:55+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001039s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.002026s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002190s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001599s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001701s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006947s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000515s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.008672s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000534s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000290s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001164s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001242s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018865s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018975s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
