[ 2012-08-17T22:18:01+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-17T22:18:01+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-17T22:18:01+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000805s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.039363s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.039512s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.116122s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.116271s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002699s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.004117s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002032s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.002652s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011922s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002789s ]
[ 2012-08-17T22:18:01+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002953s ]
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.030419s ]
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.030561s ]
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001460s ]
[ 2012-08-17T22:18:03+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001556s ]
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003496s ]
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003620s ]
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003166s ]
[ 2012-08-17T22:18:15+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003238s ]
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002489s ]
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002774s ]
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001867s ]
[ 2012-08-17T22:18:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001940s ]
[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.021542s ]
[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.021696s ]
[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004519s ]
