[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001937s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002070s ]
[ 2012-08-18T00:12:31+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.004852s ]
[ 2012-08-18T00:12:31+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000439s ]
[ 2012-08-18T00:12:31+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.005032s ]
[ 2012-08-18T00:12:31+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-18T00:12:31+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-18T00:12:31+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000762s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002237s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002320s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.028222s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028317s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001151s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001547s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001339s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001732s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005999s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001784s ]
[ 2012-08-18T00:12:31+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001867s ]
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001933s ]
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002056s ]
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001215s ]
[ 2012-08-18T00:12:32+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001302s ]
[ 2012-08-18T00:19:31+08:00 ] /admin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-18T00:19:31+08:00 ] /admin/ | INFO: Run CheckRoute Behavior [ RunTime:0.002829s ]
[ 2012-08-18T00:19:31+08:00 ] /admin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002963s ]
