[ 2012-08-27T22:12:55+08:00 ] /KB2012072301.exe?fid=7Bz3crJgwEYweb3Fj/WvEL/76b4gOk4AAAAAAFNy/VV0UBN8WkgeANxzqXhkCdap&mid=666&threshold=150&tid=B98277066C66DF95CBD9798E277818B4&srcid=0 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001369s ]
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.105129s ]
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.155313s ]
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002841s ]
[ 2012-08-27T22:49:14+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DSD0100%2D%91%5B%8C%95%DFKC%E2%E4w%C2%03&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=435683345&numwant=200&key=9088&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002949s ]
[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.020356s ]
[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.020505s ]
