[ 2012-08-16T20:31:25+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-08-16T20:31:25+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.142666s ]
[ 2012-08-16T20:31:25+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.175365s ]
[ 2012-08-16T20:31:27+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.508986s ]
[ 2012-08-16T20:31:27+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.102361s ]
[ 2012-08-16T20:31:27+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.197259s ]
[ 2012-08-16T20:31:27+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-16T20:31:27+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-16T20:31:27+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000578s ]
[ 2012-08-16T20:31:27+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-08-16T20:31:27+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.186205s ]
[ 2012-08-16T20:31:27+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.186344s ]
[ 2012-08-16T20:31:27+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.605227s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.605371s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.048279s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.179589s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.023056s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.053347s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.304633s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.027624s ]
[ 2012-08-16T20:31:28+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.027780s ]
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.149042s ]
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.149311s ]
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001793s ]
[ 2012-08-16T20:31:34+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001921s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ route_check ] --START--
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Run CheckRoute Behavior [ RunTime:0.002208s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002352s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001480s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001574s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ view_template ] --START--
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Run LocationTemplate Behavior [ RunTime:0.049122s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.049308s ]
[ 2012-08-16T20:31:45+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run ParseTemplate Behavior [ RunTime:0.118686s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.118816s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run ContentReplace Behavior [ RunTime:0.001138s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run TokenBuild Behavior [ RunTime:0.001496s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000965s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001226s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005046s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Tag[ view_end ] --START--
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001201s ]
[ 2012-08-16T20:31:46+08:00 ] /gallery/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001276s ]
