[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002026s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002161s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 21 行.
[ 2012-08-30T22:20:36+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 21 行.
[ 2012-08-30T22:20:36+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.004991s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000535s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.005169s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | NOTIC: [8] Undefined index: id HomeAction.class.php 第 17 行.
[ 2012-08-30T22:20:36+08:00 ] /me/ | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 20 行.
[ 2012-08-30T22:20:36+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000643s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.008104s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.008207s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.049092s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049187s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.004437s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.003540s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015648s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.020548s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.044483s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006646s ]
[ 2012-08-30T22:20:36+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.006749s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002065s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002201s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 23 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Undefined variable: refer CommonAction.class.php 第 23 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 23 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Undefined variable: refer CommonAction.class.php 第 23 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005479s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000453s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.005875s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-30T22:23:53+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000536s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002455s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002548s ]
[ 2012-08-30T22:23:53+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.057977s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.058104s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.001575s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.001479s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001067s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001322s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005670s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002101s ]
[ 2012-08-30T22:23:54+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002430s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001997s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002147s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 23 行.
[ 2012-08-30T22:25:35+08:00 ] /me/ | NOTIC: [8] Use of undefined constant ROOT - assumed 'ROOT' CommonAction.class.php 第 23 行.
[ 2012-08-30T22:25:35+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005442s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000513s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.005460s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-30T22:25:35+08:00 ] /me/ | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-30T22:25:35+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000560s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002746s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002839s ]
[ 2012-08-30T22:25:35+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
