[ 2012-08-21T22:23:14+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.006257s ]
[ 2012-08-21T22:23:14+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:23:14+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005228s ]
[ 2012-08-21T22:23:14+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005357s ]
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003079s ]
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003213s ]
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001884s ]
[ 2012-08-21T22:27:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001968s ]
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001817s ]
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001951s ]
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001680s ]
[ 2012-08-21T22:27:39+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001754s ]
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003126s ]
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003310s ]
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001698s ]
[ 2012-08-21T22:27:46+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001774s ]
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002784s ]
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002939s ]
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001819s ]
[ 2012-08-21T22:41:28+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001902s ]
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002095s ]
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002239s ]
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001730s ]
[ 2012-08-21T22:41:35+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001811s ]
[ 2012-08-21T22:51:02+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:02+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002334s ]
[ 2012-08-21T22:51:02+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002468s ]
[ 2012-08-21T22:51:02+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007242s ]
[ 2012-08-21T22:51:02+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000771s ]
[ 2012-08-21T22:51:03+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006102s ]
[ 2012-08-21T22:51:03+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-21T22:51:03+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-21T22:51:03+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000513s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.003425s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.003514s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.035410s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035512s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002110s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001996s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001836s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001880s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008057s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002226s ]
[ 2012-08-21T22:51:03+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002319s ]
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002340s ]
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002463s ]
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003175s ]
[ 2012-08-21T22:51:04+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003270s ]
