[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003336s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.023165s ]
[ 2012-07-06T09:03:54+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.090185s ]
[ 2012-07-06T09:03:54+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.022514s ]
[ 2012-07-06T09:03:54+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.121595s ]
[ 2012-07-06T09:03:54+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 12 行.
[ 2012-07-06T09:03:54+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 14 行.
[ 2012-07-06T09:03:54+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000788s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.060537s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.060663s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.127777s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.127906s ]
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-07-06T09:03:54+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.015121s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.020834s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002031s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.002383s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.040761s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002620s ]
[ 2012-07-06T09:03:55+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002746s ]
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.034899s ]
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.035057s ]
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001436s ]
[ 2012-07-06T09:03:56+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001518s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ route_check ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run CheckRoute Behavior [ RunTime:0.002114s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002258s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001564s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001658s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_template ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run LocationTemplate Behavior [ RunTime:0.016063s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.016201s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run ParseTemplate Behavior [ RunTime:0.076235s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076351s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run ContentReplace Behavior [ RunTime:0.001107s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run TokenBuild Behavior [ RunTime:0.001377s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001706s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001696s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006152s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_end ] --START--
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002667s ]
[ 2012-07-06T09:29:45+08:00 ] /gallery/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002768s ]
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001542s ]
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001684s ]
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001182s ]
[ 2012-07-06T09:29:46+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001266s ]
[ 2012-07-06T09:29:47+08:00 ] /message/ | INFO: Tag[ route_check ] --START--
[ 2012-07-06T09:29:47+08:00 ] /message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001352s ]
