[ 2012-08-15T21:08:21+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-15T21:08:21+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004304s ]
[ 2012-08-15T21:08:21+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046285s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.133312s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.023290s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.054424s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | NOTIC: [8] Undefined index: id HomeAction.class.php 第 12 行.
[ 2012-08-15T21:08:22+08:00 ] /me/ | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 14 行.
[ 2012-08-15T21:08:22+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000787s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.048939s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.049095s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.109449s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.109571s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.046338s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.001632s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.017529s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001664s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.067436s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001567s ]
[ 2012-08-15T21:08:22+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001657s ]
[ 2012-08-15T21:08:37+08:00 ] /me/gallery/ | INFO: Tag[ route_check ] --START--
[ 2012-08-15T21:08:37+08:00 ] /me/gallery/ | INFO: Run CheckRoute Behavior [ RunTime:0.036605s ]
[ 2012-08-15T21:08:37+08:00 ] /me/gallery/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.036813s ]
