[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016907s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001371s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001010s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000752s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001144s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004520s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000987s ]
[ 2012-06-12T00:02:51+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001063s ]
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Run CheckRoute Behavior [ RunTime:0.002714s ]
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002900s ]
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001401s ]
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001489s ]
[ 2012-06-12T00:02:55+08:00 ] /me/user/login_p.html | NOTIC: [8] Undefined index: mod UserAction.class.php 第 18 行.
[ 2012-06-12T00:02:56+08:00 ] /me/user/login_p.html | SQL: SHOW COLUMNS FROM `my_user` [ RunTime:0.536377s ]
[ 2012-06-12T00:02:57+08:00 ] /me/user/login_p.html | SQL: SELECT * FROM `my_user` WHERE ( `username` = '111' ) AND ( `password` = '111' ) LIMIT 1   [ RunTime:0.115774s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.001420s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001547s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001136s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001214s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001095s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001202s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.014239s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014371s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001745s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001037s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000744s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001225s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004992s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.002054s ]
[ 2012-06-12T00:03:49+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.002166s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002594s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002788s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002080s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002173s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002120s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002225s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.016637s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016748s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001228s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001818s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001261s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001516s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006078s ]
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001348s ]
