[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run CheckRoute Behavior [ RunTime:0.002061s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002206s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001328s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001403s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005641s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000442s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003858s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003979s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.020681s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020789s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001389s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001481s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001203s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001560s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005888s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001514s ]
[ 2012-08-22T00:01:05+08:00 ] /admin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001594s ]
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002367s ]
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002619s ]
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001590s ]
[ 2012-08-22T00:01:06+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001691s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run CheckRoute Behavior [ RunTime:0.002079s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002201s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001333s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001406s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006141s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000448s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002551s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002651s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018009s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018119s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.002804s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001187s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000939s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001193s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006359s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001295s ]
[ 2012-08-22T00:01:17+08:00 ] /admin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001374s ]
[ 2012-08-22T00:01:18+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-22T00:01:18+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001401s ]
