[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.003675s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.004017s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006512s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006608s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002957s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003069s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.118401s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.118517s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.002016s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001892s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004165s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002176s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010527s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.002889s ]
[ 2012-06-14T00:02:04+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.002994s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002205s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002348s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001455s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001551s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001533s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001686s ]
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-14T00:04:01+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.017910s ]
