[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006086s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000540s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006129s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000507s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.077979s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.014483s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.014601s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.113077s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.113210s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.004369s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.002802s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002007s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003044s ]
